source_id,site_id,market_type,name,district,market_committee,state,latitude,longitude,coords_usable,coord_flags,storage_godowns,storage_capacity,shops,opens,closes,raw_lat,raw_lon,image_url,source_url,retrieved_on
us-70,166,Uzhavar Santhai,Kovilpatti,Thoothukudi,,Tamil Nadu,9.173823,77.864742,True,ok,,,76,6:00 AM,2:00 PM,9.17382333,77.86474166,http://www.agrimark.tn.gov.in/MRS/uploads/us/166.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-71,119,Uzhavar Santhai,Pudukottai,Pudukkottai,,Tamil Nadu,10.384307,78.815201,True,ok,,,103,5:00 AM,1:00 PM,10.384307,78.815201,http://www.agrimark.tn.gov.in/MRS/uploads/us/119.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-72,155,Uzhavar Santhai,Sivakasi,Virudhunagar,,Tamil Nadu,9.279,77.472,True,review_distance_63km,,,54,6:00 AM,2:00 PM,9.279,77.4720,http://www.agrimark.tn.gov.in/MRS/uploads/us/155.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-73,120,Uzhavar Santhai,Aranthangi,Pudukkottai,,Tamil Nadu,10.175465,78.993944,True,ok,,,40,5:00 AM,1:00 PM,10.175465,78.993944,http://www.agrimark.tn.gov.in/MRS/uploads/us/120.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-74,128,Uzhavar Santhai,Usilampatti,Madurai,,Tamil Nadu,9.575051,77.471157,True,review_distance_81km,,,72,5:30 AM,1:30 PM,9.57505116,77.4711566,http://www.agrimark.tn.gov.in/MRS/uploads/us/128.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-75,58,Uzhavar Santhai,Thathakapatti,Salem,,Tamil Nadu,11.381081,78.892842,True,review_distance_87km,,,170,4:00 AM,10:30 AM,11.381081,78.892842,http://www.agrimark.tn.gov.in/MRS/uploads/us/582.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-76,124,Uzhavar Santhai,Viralimalai,Pudukkottai,,Tamil Nadu,10.723611,78.75277,True,ok,,,20,5:00 AM,1:00 PM,10.723611,78.75277,http://www.agrimark.tn.gov.in/MRS/uploads/us/124.jpg,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-77,125,Uzhavar Santhai,Anna nagar,Madurai,,Tamil Nadu,9.924347,78.147849,True,ok,,,108,5:30 AM,1:30 PM,9.924347,78.147849,http://www.agrimark.tn.gov.in/MRS/uploads/us/125.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-78,127,Uzhavar Santhai,Palanganatham,Madurai,,Tamil Nadu,9.905068,78.093597,True,ok,,,108,5:30 AM,1:30 PM,9.905068,78.093597,http://www.agrimark.tn.gov.in/MRS/uploads/us/127.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
us-79,126,Uzhavar Santhai,Chokkikulam,Madurai,,Tamil Nadu,9.946675,78.129214,True,ok,,,156,5:30 AM,1:30 PM,9.946675,78.129214,http://www.agrimark.tn.gov.in/MRS/uploads/us/126.JPG,https://www.agrimark.tn.gov.in/index.php/Infra/us_details,2026-09-21
